IvsII	IIvsIII	IvsIII	stage8	stage18	stage21	stage25	stage27	stage35	ave	stageSpecific
ENSMUSG00000040265	1	0	1	0	0	0	0	1	0	1	0
ENSMUSG00000039316	0	0	1	0	1	0	0	0	1	1	0
ENSMUSG00000067586	0	0	1	1	0	0	0	0	0	1	0
ENSMUSG00000001497	1	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000029810	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000032024	0	0	1	0	0	1	1	0	1	1	0
ENSMUSG00000050822	0	0	1	0	0	0	0	0	1	1	0
ENSMUSG00000035493	1	0	1	0	0	1	0	0	1	1	0
ENSMUSG00000074115	1	0	1	0	0	0	0	0	1	1	0
ENSMUSG00000001249	1	0	1	0	1	0	0	0	0	1	0
ENSMUSG00000021194	1	1	1	1	1	1	1	0	1	1	0
ENSMUSG00000028622	0	0	0	0	0	1	0	0	0	0	1
ENSMUSG00000026623	0	0	0	0	1	0	0	0	0	0	1
ENSMUSG00000026208	1	0	1	0	0	0	0	0	1	1	0
ENSMUSG00000047793	1	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000019960	0	0	1	0	0	1	0	0	1	1	0
ENSMUSG00000068373	1	0	1	0	1	0	0	0	1	1	0
ENSMUSG00000068617	1	0	1	0	0	0	0	0	0	1	0
ENSMUSG00000040430	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022883	0	0	0	0	1	1	0	0	0	0	1
ENSMUSG00000034295	0	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000051483	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070476	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022101	1	0	1	0	0	0	0	0	1	1	0
ENSMUSG00000035109	1	0	1	0	0	0	0	0	0	1	0
ENSMUSG00000010154	1	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000027967	1	0	0	1	0	0	0	0	0	1	0
ENSMUSG00000029381	0	0	1	1	0	0	0	0	1	1	0
ENSMUSG00000024427	1	0	1	1	0	0	0	0	1	1	0
ENSMUSG00000042406	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048562	1	0	1	0	0	0	1	0	0	1	0
ENSMUSG00000022265	1	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000032872	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000054252	1	1	0	0	0	0	0	0	0	1	0
ENSMUSG00000021646	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031241	1	1	1	1	1	1	0	0	1	1	0
ENSMUSG00000024620	0	0	0	0	1	0	0	0	0	0	1
ENSMUSG00000024043	0	0	0	0	0	0	0	1	0	0	1
ENSMUSG00000078202	1	0	1	0	0	0	0	0	0	1	0
ENSMUSG00000031174	0	0	0	0	0	0	0	1	0	0	1
ENSMUSG00000036067	1	0	0	1	0	0	0	0	0	1	0
ENSMUSG00000015647	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022964	0	0	0	1	1	0	0	0	0	0	1
ENSMUSG00000078706	0	0	1	1	0	0	0	0	0	1	0
ENSMUSG00000032827	0	0	1	0	1	1	0	0	0	1	0
ENSMUSG00000074357	1	0	0	0	0	0	0	1	0	1	0
ENSMUSG00000087131	1	0	1	0	1	0	0	0	0	1	0
ENSMUSG00000026737	0	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000042272	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068036	0	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000050875	1	0	1	1	0	0	0	0	0	1	0
ENSMUSG00000029860	0	0	0	0	1	1	1	0	1	0	1
ENSMUSG00000034648	1	0	0	0	0	0	0	1	0	1	0
ENSMUSG00000034457	1	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000085645	0	0	0	1	0	0	0	0	1	0	1
ENSMUSG00000035934	0	0	0	1	0	1	0	0	0	0	1
ENSMUSG00000054263	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000038872	0	0	0	1	0	1	0	0	1	0	1
ENSMUSG00000060487	1	1	0	0	0	0	0	0	0	1	0
ENSMUSG00000070469	1	0	0	0	0	0	0	1	0	1	0
ENSMUSG00000045709	1	0	1	0	0	1	0	0	0	1	0
ENSMUSG00000061816	1	0	1	1	0	1	0	0	0	1	0
ENSMUSG00000025255	0	0	0	1	1	0	0	0	1	0	1
ENSMUSG00000115320	1	0	1	0	0	0	0	0	0	1	0
ENSMUSG00000112035	1	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000028883	0	0	1	1	0	0	0	0	0	1	0
ENSMUSG00000042846	1	1	1	1	1	1	1	0	1	1	0
ENSMUSG00000046152	0	0	0	0	1	0	0	0	0	0	1
ENSMUSG00000034936	1	0	1	0	1	0	0	0	1	1	0
ENSMUSG00000029287	0	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000089809	1	0	1	0	0	0	0	0	0	1	0
ENSMUSG00000027508	1	0	1	0	0	0	0	0	1	1	0
ENSMUSG00000041329	1	0	1	1	0	0	0	0	0	1	0
ENSMUSG00000029922	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028655	1	0	0	0	0	0	0	0	1	1	0
ENSMUSG00000016382	0	0	0	0	0	0	1	0	0	0	1
ENSMUSG00000040209	0	0	0	0	0	0	1	0	0	0	1
ENSMUSG00000024597	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041075	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000053519	1	0	1	0	0	1	0	0	0	1	0
ENSMUSG00000025776	0	0	1	1	0	0	0	0	1	1	0
ENSMUSG00000024507	0	0	0	0	0	0	0	0	0	0	0
