average	somiteI	somiteII	somiteIII	somiteSpecific
ENSMUSG00000030207	1	1	1	1	0
ENSMUSG00000069516	1	1	1	1	0
ENSMUSG00000020267	0	0	1	0	1
ENSMUSG00000037254	1	1	1	1	0
ENSMUSG00000051527	1	1	1	1	0
ENSMUSG00000037628	1	1	1	1	0
ENSMUSG00000020733	1	1	1	1	0
ENSMUSG00000072591	1	1	1	1	0
ENSMUSG00000023064	1	1	1	1	0
ENSMUSG00000024597	1	1	1	1	0
ENSMUSG00000020075	1	0	1	1	0
ENSMUSG00000086688	1	1	1	1	0
ENSMUSG00000031273	1	1	1	1	0
ENSMUSG00000028851	0	0	0	0	0
ENSMUSG00000070858	1	1	1	0	0
ENSMUSG00000002289	1	1	1	1	0
ENSMUSG00000019777	0	1	0	0	1
ENSMUSG00000027422	1	1	1	1	0
ENSMUSG00000004885	1	1	1	1	0
ENSMUSG00000028825	1	1	1	1	0
ENSMUSG00000039323	1	1	1	1	0
ENSMUSG00000090610	1	1	1	1	0
ENSMUSG00000025137	1	1	1	1	0
ENSMUSG00000021595	0	0	1	0	1
ENSMUSG00000026890	1	1	1	1	0
ENSMUSG00000028494	1	1	1	1	0
ENSMUSG00000022881	1	1	1	1	0
ENSMUSG00000054446	1	1	1	1	0
ENSMUSG00000025930	1	1	1	1	0
ENSMUSG00000084897	1	1	1	1	0
ENSMUSG00000028070	1	1	1	1	0
ENSMUSG00000084843	1	1	1	1	0
ENSMUSG00000021241	1	1	0	1	0
ENSMUSG00000054435	1	1	1	1	0
ENSMUSG00000034892	1	1	0	1	0
ENSMUSG00000049760	0	0	1	0	1
ENSMUSG00000020053	1	1	1	1	0
ENSMUSG00000024378	1	1	1	1	0
ENSMUSG00000037275	1	1	1	1	0
ENSMUSG00000029671	1	1	1	1	0
ENSMUSG00000020864	1	1	1	1	0
ENSMUSG00000089901	1	1	1	1	0
ENSMUSG00000054690	1	1	1	1	0
ENSMUSG00000074227	1	1	1	1	0
ENSMUSG00000064326	1	1	1	0	0
ENSMUSG00000027613	0	0	0	1	1
ENSMUSG00000052105	1	1	1	1	0
ENSMUSG00000024431	1	1	1	1	0
ENSMUSG00000036438	1	1	1	0	0
ENSMUSG00000029544	1	1	1	1	0
ENSMUSG00000056155	1	1	1	1	0
ENSMUSG00000073821	1	1	1	1	0
ENSMUSG00000004558	1	1	1	1	0
ENSMUSG00000038417	1	1	1	1	0
ENSMUSG00000005506	0	0	1	0	1
ENSMUSG00000020297	1	1	1	1	0
ENSMUSG00000025393	0	1	0	0	1
ENSMUSG00000034640	1	1	1	1	0
ENSMUSG00000040260	1	1	1	1	0
ENSMUSG00000049985	1	1	1	1	0
ENSMUSG00000028461	1	1	1	1	0
ENSMUSG00000039167	1	1	1	1	0
ENSMUSG00000021953	1	1	1	1	0
ENSMUSG00000051910	1	1	1	1	0
ENSMUSG00000021765	1	1	1	1	0
ENSMUSG00000029338	1	1	1	1	0
ENSMUSG00000027985	1	1	1	1	0
ENSMUSG00000054932	1	1	1	1	0
